area_type,availability,location,size,society,dist_mainroad,street_type,total_sqft,bath,balcony,price
Super built-up  Area,19-Dec,Electronic City Phase II,2 BHK,Coomee ,131,Paved,1056,2.0,1.0,39.07
Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,Theanmp,26,Gravel,2600,5.0,3.0,120.0
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,,70,Gravel,1440,2.0,3.0,62.0
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,14,Paved,1521,3.0,1.0,95.0
Super built-up  Area,Ready To Move,Kothanur,2 BHK,,84,Gravel,1200,2.0,1.0,51.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,DuenaTa,36,No Access,1170,2.0,1.0,38.0
Super built-up  Area,18-May,Old Airport Road,4 BHK,Jaades ,137,No Access,2732,4.0,,204.0
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,Brway G,176,Gravel,3300,4.0,,600.0
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,,175,Paved,1310,3.0,1.0,63.25
Plot  Area,Ready To Move,Gandhi Bazar,6 Bedroom,,74,No Access,1020,6.0,,370.0
Super built-up  Area,18-Feb,Whitefield,3 BHK,,78,No Access,1800,2.0,2.0,70.0
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Prrry M,143,Gravel,2785,5.0,3.0,295.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Shncyes,137,No Access,1000,2.0,1.0,38.0
Built-up  Area,Ready To Move,Gottigere,2 BHK,,83,Paved,1100,2.0,2.0,40.0
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Skityer,157,Paved,2250,3.0,2.0,148.0
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,PrntaEn,148,Gravel,1175,2.0,2.0,73.5
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,175,Gravel,1180,3.0,2.0,48.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,134,No Access,1540,3.0,3.0,60.0
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,PeBayle,69,Paved,2770,4.0,2.0,290.0
Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,,168,Paved,1100,2.0,2.0,48.0
Built-up  Area,Ready To Move,Kengeri,1 BHK,,53,Paved,600,1.0,1.0,15.0
Super built-up  Area,19-Dec,Binny Pete,3 BHK,She 2rk,96,Paved,1755,3.0,1.0,122.0
Plot  Area,Ready To Move,Thanisandra,4 Bedroom,Soitya ,114,Gravel,2800,5.0,2.0,380.0
Super built-up  Area,Ready To Move,Bellandur,3 BHK,,100,Gravel,1767,3.0,1.0,103.0
Super built-up  Area,18-Nov, Thanisandra,1 RK,Bhe 2ko,111,No Access,510,1.0,0.0,25.25
Super built-up  Area,18-May,Mangammanapalya,3 BHK,,105,Gravel,1250,3.0,2.0,56.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,29,Paved,660,1.0,1.0,23.1
Built-up  Area,20-Dec,Whitefield,3 BHK,,59,Gravel,1610,3.0,2.0,81.0
Super built-up  Area,17-Oct,Ramagondanahalli,2 BHK,ViistLa,185,Gravel,1151,2.0,2.0,48.77
Super built-up  Area,Ready To Move,Electronic City,3 BHK,KBityo ,138,Paved,1025,2.0,1.0,47.0
Super built-up  Area,19-Dec,Yelahanka,4 BHK,LedorSa,173,No Access,2100 - 2850,4.0,0.0,186.0
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,15,Gravel,1075,2.0,1.0,35.0
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Mahosya,117,Paved,1760,2.0,2.0,123.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,16,Gravel,1693,3.0,3.0,57.39
Built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,Kantsce,130,Gravel,1925,3.0,,125.0
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,46,Gravel,700,2.0,1.0,36.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,,180,Paved,1070,2.0,1.0,45.5
Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,Dieldli,111,Paved,1724,3.0,2.0,125.0
Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,,36,Gravel,1290,2.0,2.0,56.12
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,,52,No Access,1143,2.0,2.0,45.0
Built-up  Area,Ready To Move,Murugeshpalya,2 BHK,Gentson,105,No Access,1296,2.0,,81.0
Super built-up  Area,19-Dec,Sarjapur  Road,3 BHK,Soini T,16,Paved,1254,3.0,2.0,38.0
Super built-up  Area,Ready To Move,Ganga Nagar,1 BHK,Ceove G,86,Paved,600,1.0,0.0,38.0
Plot  Area,Ready To Move,Yelahanka,1 Bedroom,,49,Gravel,660,1.0,0.0,48.0
Super built-up  Area,19-Sep,Kanakpura Road,2 BHK,Soazak ,113,Paved,1330.74,2.0,2.0,91.79
Plot  Area,Ready To Move,HSR Layout,8 Bedroom,,105,No Access,600,9.0,,200.0
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,LancyRe,189,Gravel,970,2.0,0.0,33.0
Super built-up  Area,20-Sep,Whitefield,2 BHK,Goted U,15,Gravel,1459,2.0,1.0,94.82
Plot  Area,Ready To Move,KR Puram,2 Bedroom,,28,Gravel,800,1.0,1.0,130.0
Built-up  Area,Ready To Move,Himagiri Meadows,2 BHK,,51,No Access,869,2.0,1.0,36.0
Super built-up  Area,Ready To Move,Adarsh Nagar,2 BHK,Bhncyis,19,Gravel,1270,2.0,1.0,50.0
Super built-up  Area,18-Mar,Bhoganhalli,3 BHK,Rosha I,167,Paved,1670,3.0,1.0,99.0
Built-up  Area,Ready To Move,Whitefield,3 BHK,Suent V,126,Paved,2010,3.0,2.0,91.0
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,49,Paved,1185,2.0,2.0,75.0
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,NCowsar,75,No Access,1600,2.0,3.0,75.0
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,154,No Access,1200,2.0,2.0,44.0
Built-up  Area,20-Feb,Devanahalli,4 Bedroom,BrereAt,25,Gravel,3010 - 3410,,,192.0
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2 BHK,PeBayle,187,Gravel,1500,2.0,2.0,185.0
Plot  Area,Ready To Move,Murugeshpalya,6 Bedroom,,200,No Access,1407,4.0,1.0,150.0
Super built-up  Area,Ready To Move,Govindaraja Nagar Ward,2 BHK,,32,No Access,840,2.0,2.0,45.0
Plot  Area,Ready To Move,Tharabanahalli,3 Bedroom,,11,Paved,4395,3.0,2.0,240.0
Super built-up  Area,Ready To Move,Ganga Nagar,2 BHK,Laavevi,100,Gravel,845,2.0,1.0,55.0
